ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780440710,0.741,0.7624,0.9242,0.7201,0.763,0.7349,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 438}",35.8
1780440762,0.7726,0.8305,0.9316,0.7798,0.7655,0.7644,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 551}",52.4
1780440783,0.7447,0.7717,0.9236,0.7205,0.7707,0.7368,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 424}",21.3
1780440800,0.7519,0.7795,0.9254,0.7611,0.7429,0.7442,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 883}",16.5
1780440842,0.787,0.8487,0.9333,0.7969,0.7773,0.7797,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 2048, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 148}",42.0
1780440904,0.7497,0.7795,0.9267,0.7161,0.7866,0.744,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 256, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 72}",61.7
1780440940,0.7807,0.8375,0.9329,0.7872,0.7743,0.7723,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 997}",36.6
1780441021,0.769,0.8193,0.9308,0.7718,0.7662,0.7602,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 512, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 366}",80.9
1780441045,0.7581,0.8132,0.9286,0.7497,0.7667,0.7517,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 512, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 736}",23.8
1780441078,0.758,0.8106,0.9278,0.7591,0.7569,0.7507,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 512, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 563}",33.3
1780441132,0.7897,0.8515,0.9344,0.8081,0.7722,0.7818,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 2048, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 228}",53.9
1780441162,0.7393,0.7565,0.923,0.7082,0.7734,0.7338,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 383}",29.7
1780441216,0.7428,0.7675,0.9252,0.7405,0.7451,0.7358,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 882}",54.4
1780441302,0.7879,0.8466,0.9336,0.7998,0.7763,0.7793,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 298}",85.8
1780441352,0.7723,0.8316,0.9317,0.7797,0.7651,0.7649,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 1024, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 416}",50.2
